,Submitted Time,Location(country),Age,Gender,Occupation,Are you a Medical Practitioner?,"If 5. is yes, Specify, If 5. is No, then skip this question", Do you use health tracking devices?,How often do you get to communicate with a doctor face to face?,How likely are you to trust a recommendation from an AI agent about your health?,Was the conversation with the diagnosis AI agent clear and consistent?,Are you more likely to stick to a healthier lifestyle if you had an AI agent to keep track of your health metrics?,How comfortable are you with sharing your personal data with an AI agent?,Have you applied for a loan in the past?,"If 13 is yes, How much control did you feel you had to influence the loan decision when dealing with a Human agent?", Type of Loan applied for?,Have you ever had your loan application process handled by a non-human agent?,Would you prefer to deal with an AI agent or a human agent for loan applications?,What problems do you think an AI loan application agent might solve?,What problems do you think an AI loan application might create?,How much control did you feel you had to influence the loan decision when dealing with an AI agent?,Are you more likely to take a loan if you dealt with an AI agent or a human agent?,How comfortable are you sharing personal data with an AI agent ?,How interested are you in real estate and real estate pricing?, Would you prefer to deal with a human Realtor vs. AI agent for understanding house prices?,What's the reason for your choice in 25.?,"How likely are you to trust the suggestions of an AI agent, if for instance it recommended that you could improve the value of your home by taking a certain action ?",How well do you understand the factors that can affect house prices?,How comfortable are you sharing your personal information with an AI agent?,What has been your overall experience using these agents?,How many years of coding/software experience do you have?,How useful have coding LLM's been for you?,What key problem do you feel an AI coding agent might create for you?,Which Coding assistant or app do you use regularly? you can list more than one.,Do you worry that you might lose your skill if you depend too much on AI assistance,"This Agent used for the survey is a demo, however, what has been your overall experience using it?"
11,03-07-2024 20:04:25,China,35-44,Female,Self-employed,0,No Answer,0,2,1,1,5,3,3-5 times,5,Business Loan,0,3,Not to sure if it will be different from the human agent,Error at some point,1,1,3,3,1,Face to face communication and possible clarity,3,4,3,I have not used an AI agent before. But with a human agent it seems more direct,less than one year,1,"I can't really say, because no experience with an AI coding agent",C++,4,Interesting
12,03-07-2024 20:15:52,China,25-34,Male,Employed,0,No Answer,0,2,3,1,3,4,More than 5 times,5,Personal loan,0,3,No Answer,No Answer,3,3,4,5,3,No Answer,5,1,4,No Answer,1-2 years,4,No Answer,No Answer,1,No Answer
13,03-07-2024 22:33:53,China,35-44,Male,Student,0,No Answer,0,1,2,3,5,4,More than 5 times,3,Business Loan,0,3,No Answer,No Answer,No Answer,No Answer,No Answer,5,5,No Answer,No Answer,No Answer,No Answer,No Answer,less than one year,5,No Answer,No Answer,4,No Answer
14,04-07-2024 00:24:16,China,25-34,Male,Student,0,No Answer,0,3,1,3,1,5,Never,No Answer,No Answer,No Answer,5,I have no experience in this matter.,"Safety issues, humans are clever, they will find a way to outsmart the system",No Answer,1,3,3,1,"I worked as an entrepreneur, I know the market, dealing with humans might be tricky but I like it",3,4,5,"I am new to AI in general, I haven't been engaged in any real life related experiences whereby an AI tool has been evolved, nevertheless, I am a scholar, AI tools nowadays are very commonly used in research and articles writing, they have proven to be very efficient and of high accuracy, providing a quick and simple access to an enormous amount of informations and data from all different fields, though, AI still relatively a new tool and a lot is yet to be developed, and therefore, in my opinion I think it's a bit too early to engage AI in a life threatening decision such as medical infirmary, or to provide a financial judgment like real state investment and house pricing.",1-2 years,3,No Answer,Mostly ChatGPT3.5,1,It's impressive
15,04-07-2024 01:35:34,China,25-34,Male,Student,0,No Answer,1,3,5,5,5,5,Never,1,Personal loan,1,5,No problem,No problem,5,5,5,5,5,No,5,5,5,Good,5-10 years,5,No problem,No Answer,5,Good
16,04-07-2024 09:20:44,China,18-24,Female,Student,1,Yes,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer,No Answer
17,04-07-2024 10:32:23,China,35-44,Female,Student,0,No Answer,0,3,1,3,4,3,Never,3,No Answer,0,3,No idea,Lack of imotional respose,1,1,5,3,1,Bargaining,3,3,1,No Answer,less than one year,3,lack of complete information,ChatGPT,1,AI assistant are helpful but do not totally rely on it. I only use AI agent as a supporting agent to me.
18,04-07-2024 11:06:35,China,25-34,Female,Employed,0,No Answer,0,1,1,1,1,1,Never,1,None (others),0,1,None,None,1,1,1,5,3,None,1,1,1,None,less than one year,1,None,None,1,None
19,12-07-2024 13:16:09,Nigeria,18-24,Female,Employed,0,No Answer,1,3,3,4,4,2,1-2 times,4,Personal loan,0,4,help introverts,people will try to trick it,4,3,4,4,3,it depends on how well the AI agent can do the job,4,4,4,page loads slowly,less than one year,1,No Answer,No Answer,No Answer,No Answer
20,12-07-2024 13:40:14,Nigeria,25-34,Female,Student,0,No Answer,1,2,2,4,4,5,Never,3,none (others),0,4,Convenience,reliability,4,5,4,5,3,i haven't dealt with either,4,5,3,"actually, very interesting",less than one year,No Answer,No Answer,No Answer,No Answer,very impressive
21,21-06-2024 00:57:22,Canada,25-34,Male,Employed,0,,1,4,5,4,5,4,1-2 times,4,Business loan,0,5,Prejudice,Data breach risk,3,5,4,5,5,I am tech savvy,4,4,4,Excellent,1-2 years,4,Repetitive tasks,Potential security risk,Neutral,Satisfactory
22,21-06-2024 04:08:59,China,25-34,Male,Student,0,,0,1,2,2,4,3,1-2 times,2,Personal loan,0,4,less stress,none,2,4,4,5,3,I'm open minded,3,3,3,great,more than 5 years,3,speed and less stress,none,Very Unbothered,null
23,21-06-2024 10:36:04,Nigeria,35-44,Male,Employed,1,General Practitioner,1,5,2,3,4,3,Never,4,Personal loan,1,2,slow processes,Electronic failures,3,3,2,4,3,Each has pros and cons,3,4,3,Interesting,,,,,,Interesting
24,21-06-2024 12:28:00,Nigeria,45-54,Female,Self-employed,0,,0,2,3,3,2,3,,,,,,,,,,,3,3,Because I can use both human Agent and AI Agent.,3,3,3,,,,,,,Apprehensive
25,21-06-2024 15:16:08,Nigeria,35-44,Female,Employed,1,General Practitioner,1,5,2,4,5,2,1-2 times,2,Personal loan,0,3,Repayment plan,Not sure,2,2,2,5,3,Nothing special,4,4,2,,,,,,,Great
26,23-06-2024 06:06:01,Nigeria,25-34,Male,Self-employed,0,,1,4,3,3,3,3,,,,,,,,,,,4,4,Humans are volatile,4,4,3,,,,,,,Okay
27,23-06-2024 07:03:42,China,25-34,Male,Student,0,,0,1,4,2,4,4,,,,,,,,,,,,,,,,,,3-5 years,4,"Most times, when they make errors, they are unable to self correct",Spending too much time doing the wrong thing,Not worried,
28,23-06-2024 08:21:17,Nigeria,55-64,Male,Employed,0,,0,2,4,2,1,1,3-5 times,1,Personal loan,0,3,process,biases,1,1,1,3,2,Personal,3,3,1,from.which point of view,,,,,,poorer
29,23-06-2024 09:32:07,China,25-34,Male,Unemployed,0,,0,2,2,3,4,3,1-2 times,2,Personal loan,0,2,biases and delay,misinformation,2,4,3,5,3,for flexible prices,3,4,3,not very good experience sometimes,No Answer,,,,,very good
30,24-06-2024 17:54:20,China,18-24,Male,Student,0,,1,3,4,4,4,4,1-2 times,3,Student loan,0,3,Not understanding me properly,No problems,3,4,4,,,,,,,,,,,,,8/10
31,25-06-2024 19:26:34,China,18-24,Female,Student,1,,1,5,1,5,5,5,,,,,,,,,,,4,4,I think it’s less time consuming,4,3,4,It’s been good,less than one year,4,Understanding,No problem,Neutral,7/10
32,25-06-2024 00:25:27,Liberia,35-44,Male,Employed,,,,,,,,,,,,,,,,,,,5,2,I think the way AI is coming in different versions I am not satisfied and I preferred human.,3,4,2,I have no much experience using AI,,,,,,
33,25-06-2024 05:31:26,China,25-34,Female,Student,,,,,,,,,,,,,,,,,,,4,1,Fear of errors or bias,4,5,5,Moderate,,,,,,
